,"-, clemscore","all, Average % Played","all, Average Quality Score","imagegame, % Played","imagegame, Quality Score","imagegame, Quality Score (std)","privateshared, % Played","privateshared, Quality Score","privateshared, Quality Score (std)","referencegame, % Played","referencegame, Quality Score","referencegame, Quality Score (std)","taboo, % Played","taboo, Quality Score","taboo, Quality Score (std)","wordle, % Played","wordle, Quality Score","wordle, Quality Score (std)","wordle_withclue, % Played","wordle_withclue, Quality Score","wordle_withclue, Quality Score (std)","wordle_withcritic, % Played","wordle_withcritic, Quality Score","wordle_withcritic, Quality Score (std)"
CodeLlama-34b-Instruct-hf-t0.0--CodeLlama-34b-Instruct-hf-t0.0,9.27,33.57,27.62,0.0,,,0.0,,,100.0,33.89,47.47,51.67,51.61,50.8,56.67,0.0,0.0,26.67,25.0,46.29,0.0,,
Llama-3-70b-Instruct-t0.0--Llama-3-70b-Instruct-t0.0,33.75,79.52,42.44,0.0,,,100.0,84.4,13.57,100.0,63.33,48.32,93.33,68.75,39.19,83.33,2.27,6.29,96.67,13.22,31.93,83.33,22.67,36.84
Llama-3-8b-Instruct-t0.0--Llama-3-8b-Instruct-t0.0,21.76,75.81,28.7,0.0,,,94.0,59.96,29.9,100.0,48.33,50.11,100.0,38.33,44.82,93.33,1.79,6.56,83.33,14.8,33.8,60.0,8.98,24.07
Mistral-7B-Instruct-v0.1-t0.0--Mistral-7B-Instruct-v0.1-t0.0,4.93,27.7,17.79,0.0,,,20.0,1.21,2.58,33.89,36.07,48.42,100.0,31.67,45.07,0.0,,,23.33,0.0,0.0,16.67,20.0,44.72
Mixtral-8x22B-Instruct-v0.1-t0.0--Mixtral-8x22B-Instruct-v0.1-t0.0,15.76,52.14,30.22,0.0,,,0.0,,,100.0,66.11,47.47,58.33,40.0,49.71,96.67,0.0,0.0,60.0,15.0,33.3,50.0,30.0,41.4
Mixtral-8x7B-Instruct-v0.1-t0.0--Mixtral-8x7B-Instruct-v0.1-t0.0,9.65,39.53,24.41,0.0,,,0.0,,,5.0,77.78,44.1,51.67,9.68,30.05,96.67,0.0,0.0,76.67,19.13,35.28,46.67,15.48,36.08
Qwen1.5-0.5B-Chat-t0.0--Qwen1.5-0.5B-Chat-t0.0,0.12,25.72,0.48,0.0,,,0.0,,,0.0,,,86.67,1.92,13.87,46.67,0.0,0.0,40.0,0.0,0.0,6.67,0.0,0.0
Qwen1.5-1.8B-Chat-t0.0--Qwen1.5-1.8B-Chat-t0.0,0.0,15.24,0.0,0.0,,,0.0,,,0.0,,,93.33,0.0,0.0,0.0,,,10.0,0.0,0.0,3.33,0.0,
Qwen1.5-14B-Chat-t0.0--Qwen1.5-14B-Chat-t0.0,16.42,40.95,40.09,30.0,20.58,14.69,0.0,,,100.0,38.89,48.89,46.67,41.07,47.25,90.0,0.0,0.0,16.67,40.0,54.77,3.33,100.0,
Qwen1.5-32B-Chat-t0.0--Qwen1.5-32B-Chat-t0.0,17.99,63.69,28.24,67.5,42.15,29.29,20.0,35.52,9.63,100.0,41.11,49.34,61.67,42.79,47.39,93.33,0.0,0.0,60.0,16.85,33.34,43.33,19.23,38.4
Qwen1.5-7B-Chat-t0.0--Qwen1.5-7B-Chat-t0.0,2.1,16.82,12.48,0.0,,,0.0,,,6.11,36.36,50.45,98.33,13.56,33.26,0.0,,,10.0,0.0,0.0,3.33,0.0,
SUS-Chat-34B-t0.0--SUS-Chat-34B-t0.0,11.6,54.4,21.32,2.5,29.0,,20.0,0.0,0.0,100.0,37.78,48.62,98.33,52.26,45.64,93.33,0.0,0.0,43.33,23.08,43.85,23.33,7.14,18.9
