,"-, clemscore","all, Average % Played","all, Average Quality Score","imagegame, % Played","imagegame, Quality Score","imagegame, Quality Score (std)","privateshared, % Played","privateshared, Quality Score","privateshared, Quality Score (std)","referencegame, % Played","referencegame, Quality Score","referencegame, Quality Score (std)","taboo, % Played","taboo, Quality Score","taboo, Quality Score (std)","wordle, % Played","wordle, Quality Score","wordle, Quality Score (std)","wordle_withclue, % Played","wordle_withclue, Quality Score","wordle_withclue, Quality Score (std)","wordle_withcritic, % Played","wordle_withcritic, Quality Score","wordle_withcritic, Quality Score (std)"
llama3.1-sft-e1-_E1_D90000-t0.0--llama3.1-sft-e1-_E1_D90000-t0.0,23.17,87.38,26.52,80.0,40.47,24.4,100.0,28.07,30.24,98.33,42.94,49.64,100.0,46.94,44.94,90.0,0.0,0.0,76.67,15.0,34.28,66.67,12.25,23.84
llama3.1-sft-e1-_E1_D90001-t0.0--llama3.1-sft-e1-_E1_D90001-t0.0,41.14,91.71,44.86,100.0,95.35,8.71,62.0,97.68,5.23,100.0,76.67,42.41,100.0,20.28,35.67,100.0,0.0,0.0,90.0,12.96,32.79,90.0,11.11,32.03
llama3.1-sft-e1-_E1_D90005-t0.0--llama3.1-sft-e1-_E1_D90005-t0.0,41.73,92.29,45.22,100.0,92.28,12.26,96.0,97.32,4.85,100.0,81.11,39.25,100.0,21.39,36.71,93.33,1.07,5.67,80.0,12.5,29.49,76.67,10.87,29.99
llama3.1-sft-e1-_E1_D90006-t0.0--llama3.1-sft-e1-_E1_D90006-t0.0,39.14,91.9,42.59,100.0,92.78,11.5,100.0,97.89,4.34,100.0,71.11,45.45,100.0,12.22,29.73,93.33,0.71,3.78,76.67,9.78,28.94,73.33,13.64,35.13
llama3.1-sft-e1-_E1_D90020-t0.0--llama3.1-sft-e1-_E1_D90020-t0.0,37.33,86.31,43.25,97.5,70.49,22.38,100.0,76.15,21.43,100.0,64.44,48.0,100.0,42.5,44.3,73.33,2.27,10.66,63.33,25.44,41.71,70.0,21.43,40.53
llama3.1-sft-e1-_E1_D90024-t0.0--llama3.1-sft-e1-_E1_D90024-t0.0,37.76,83.91,45.0,90.0,70.25,22.61,94.0,80.69,16.73,100.0,66.67,47.27,100.0,48.06,45.73,76.67,2.17,10.43,70.0,24.6,40.01,56.67,22.55,39.5
llama3.1-sft-e1-_E1_D90050-t0.0--llama3.1-sft-e1-_E1_D90050-t0.0,37.88,92.29,41.04,100.0,87.85,17.66,96.0,98.67,4.03,100.0,63.89,48.17,100.0,8.06,25.95,90.0,0.0,0.0,80.0,14.93,33.87,80.0,13.89,33.93
llama3.1-sft-e1-_E1_D90053-t0.0--llama3.1-sft-e1-_E1_D90053-t0.0,44.17,94.29,46.85,100.0,93.58,13.67,90.0,94.02,8.56,100.0,78.89,40.92,100.0,25.28,38.63,96.67,1.03,5.57,80.0,20.83,38.78,93.33,14.29,35.63
llama3.1-sft-e1-_E1_D90054-t0.0--llama3.1-sft-e1-_E1_D90054-t0.0,40.24,89.05,45.19,100.0,93.8,11.78,100.0,98.25,4.57,100.0,72.22,44.92,100.0,11.67,29.16,93.33,1.07,5.67,60.0,25.0,42.87,70.0,14.29,35.86
llama3.1-sft-e1-_E1_D90067-t0.0--llama3.1-sft-e1-_E1_D90067-t0.0,35.88,86.76,41.35,100.0,64.4,24.55,94.0,75.96,23.58,100.0,51.11,50.13,100.0,43.61,45.21,90.0,0.0,0.0,63.33,21.93,37.7,60.0,32.41,45.18
llama3.1-sft-e1-_E1_D90068-t0.0--llama3.1-sft-e1-_E1_D90068-t0.0,36.82,85.74,42.94,87.5,70.17,22.99,96.0,73.68,22.99,100.0,65.56,47.65,100.0,44.17,44.87,83.33,2.0,10.0,76.67,22.46,35.75,56.67,22.55,39.5
