,game,model,experiment,episode,metric,value
0,wordle,Unsloth-meta-llama-3.1-4bit-plain-t0.0--Unsloth-meta-llama-3.1-4bit-plain-t0.0,0_high_frequency_words_no_clue_no_critic,episode_4,Aborted,0.0
1,wordle,Unsloth-meta-llama-3.1-4bit-plain-t0.0--Unsloth-meta-llama-3.1-4bit-plain-t0.0,0_high_frequency_words_no_clue_no_critic,episode_4,Lose,1.0
2,wordle,Unsloth-meta-llama-3.1-4bit-plain-t0.0--Unsloth-meta-llama-3.1-4bit-plain-t0.0,0_high_frequency_words_no_clue_no_critic,episode_4,Success,0.0
3,wordle,Unsloth-meta-llama-3.1-4bit-plain-t0.0--Unsloth-meta-llama-3.1-4bit-plain-t0.0,0_high_frequency_words_no_clue_no_critic,episode_4,Request Count,6.0
4,wordle,Unsloth-meta-llama-3.1-4bit-plain-t0.0--Unsloth-meta-llama-3.1-4bit-plain-t0.0,0_high_frequency_words_no_clue_no_critic,episode_4,Parsed Request Count,6.0
5,wordle,Unsloth-meta-llama-3.1-4bit-plain-t0.0--Unsloth-meta-llama-3.1-4bit-plain-t0.0,0_high_frequency_words_no_clue_no_critic,episode_4,Violated Request Count,0.0
6,wordle,Unsloth-meta-llama-3.1-4bit-plain-t0.0--Unsloth-meta-llama-3.1-4bit-plain-t0.0,0_high_frequency_words_no_clue_no_critic,episode_4,Request Success Ratio,1.0
7,wordle,Unsloth-meta-llama-3.1-4bit-plain-t0.0--Unsloth-meta-llama-3.1-4bit-plain-t0.0,0_high_frequency_words_no_clue_no_critic,episode_4,Main Score,0.0
8,wordle,Unsloth-meta-llama-3.1-4bit-plain-t0.0--Unsloth-meta-llama-3.1-4bit-plain-t0.0,0_high_frequency_words_no_clue_no_critic,episode_4,repeats guess,1.0
9,wordle,Unsloth-meta-llama-3.1-4bit-plain-t0.0--Unsloth-meta-llama-3.1-4bit-plain-t0.0,0_high_frequency_words_no_clue_no_critic,episode_4,total guess repetitions,2.0
10,wordle,Unsloth-meta-llama-3.1-4bit-plain-t0.0--Unsloth-meta-llama-3.1-4bit-plain-t0.0,0_high_frequency_words_no_clue_no_critic,episode_3,Aborted,0.0
11,wordle,Unsloth-meta-llama-3.1-4bit-plain-t0.0--Unsloth-meta-llama-3.1-4bit-plain-t0.0,0_high_frequency_words_no_clue_no_critic,episode_3,Lose,1.0
12,wordle,Unsloth-meta-llama-3.1-4bit-plain-t0.0--Unsloth-meta-llama-3.1-4bit-plain-t0.0,0_high_frequency_words_no_clue_no_critic,episode_3,Success,0.0
13,wordle,Unsloth-meta-llama-3.1-4bit-plain-t0.0--Unsloth-meta-llama-3.1-4bit-plain-t0.0,0_high_frequency_words_no_clue_no_critic,episode_3,Request Count,7.0
