short_name,mmlu,social_iqa,piqa,"-, clemscore","all, Average % Played","all, Average Quality Score","imagegame, % Played","imagegame, Quality Score","privateshared, % Played","privateshared, Quality Score","referencegame, % Played","referencegame, Quality Score","taboo, % Played","taboo, Quality Score","wordle, % Played","wordle, Quality Score","wordle_withclue, % Played","wordle_withclue, Quality Score","wordle_withcritic, % Played","wordle_withcritic, Quality Score"
D90000,62.52,49.08,78.84,22.74,87.62,25.95,80.0,40.47,100.0,28.07,100.0,38.89,100.0,46.94,90.0,0.0,76.67,15.0,66.67,12.25
D90000,62.52,49.08,78.84,42.37,89.76,47.2,95.0,92.92,100.0,90.17,100.0,66.67,100.0,33.89,90.0,0.0,76.67,21.74,66.67,25.0
D90001,60.34,49.49,77.97,38.74,91.71,42.24,100.0,95.35,62.0,97.68,100.0,58.33,100.0,20.28,100.0,0.0,90.0,12.96,90.0,11.11
D90005,59.85,49.08,79.22,39.09,92.29,42.36,100.0,92.28,96.0,97.32,100.0,61.11,100.0,21.39,93.33,1.07,80.0,12.5,76.67,10.87
D90006,54.92,48.57,77.37,36.36,91.9,39.57,100.0,92.78,100.0,97.89,100.0,50.0,100.0,12.22,93.33,0.71,76.67,9.78,73.33,13.64
D90020,64.73,46.83,78.94,35.54,86.31,41.18,97.5,70.49,100.0,76.15,100.0,50.0,100.0,42.5,73.33,2.27,63.33,25.44,70.0,21.43
D90024,64.96,46.93,79.0,36.43,83.91,43.41,90.0,70.25,94.0,80.69,100.0,55.56,100.0,48.06,76.67,2.17,70.0,24.6,56.67,22.55
D90050,51.71,49.44,76.28,36.41,92.29,39.45,100.0,87.85,96.0,98.67,100.0,52.78,100.0,8.06,90.0,0.0,80.0,14.93,80.0,13.89
D90053,58.96,48.46,78.13,41.03,94.29,43.51,100.0,93.58,90.0,94.02,100.0,55.56,100.0,25.28,96.67,1.03,80.0,20.83,93.33,14.29
D90054,49.62,49.33,76.12,37.77,89.05,42.41,100.0,93.8,100.0,98.25,100.0,52.78,100.0,11.67,93.33,1.07,60.0,25.0,70.0,14.29
D90067,64.75,47.49,79.05,33.67,86.76,38.81,100.0,64.4,94.0,75.96,100.0,33.33,100.0,43.61,90.0,0.0,63.33,21.93,60.0,32.41
D90068,64.96,47.08,79.05,33.55,85.74,39.13,87.5,70.17,96.0,73.68,100.0,38.89,100.0,44.17,83.33,2.0,76.67,22.46,56.67,22.55
