short_name,mmlu,social_iqa,piqa,"-, clemscore","all, Average % Played","all, Average Quality Score","imagegame, % Played","imagegame, Quality Score","privateshared, % Played","privateshared, Quality Score","referencegame, % Played","referencegame, Quality Score","taboo, % Played","taboo, Quality Score","wordle, % Played","wordle, Quality Score","wordle_withclue, % Played","wordle_withclue, Quality Score","wordle_withcritic, % Played","wordle_withcritic, Quality Score"
llama-3.1,65.9,48.31,79.27,21.18,87.26,24.27,67.5,41.33,100.0,27.98,100.0,33.33,100.0,40.0,100.0,0.0,83.33,14.13,60.0,13.15
D10001,64.81,49.13,79.38,27.14,92.86,29.23,90.0,65.22,100.0,30.34,100.0,27.78,100.0,42.22,100.0,0.0,86.67,18.59,73.33,20.45
D20001,65.21,47.8,79.22,32.53,90.6,35.9,97.5,72.41,100.0,28.71,100.0,36.11,100.0,48.89,93.33,0.0,76.67,33.48,66.67,31.67
D20002,64.96,48.0,79.6,24.84,88.57,28.04,90.0,50.28,100.0,30.56,100.0,33.33,100.0,49.44,93.33,0.0,73.33,26.52,63.33,6.14
D20003,64.72,47.03,79.27,25.63,91.67,27.96,95.0,54.42,100.0,53.82,100.0,27.78,100.0,36.39,100.0,0.0,76.67,15.22,70.0,8.1
D30001,64.76,49.08,78.78,32.54,95.14,34.2,100.0,84.88,96.0,15.47,100.0,36.11,98.33,44.63,93.33,6.07,83.33,20.67,95.0,31.58
D30002,64.54,49.33,79.05,29.83,92.95,32.09,100.0,83.25,94.0,12.3,100.0,38.89,100.0,50.28,93.33,1.07,83.33,18.33,80.0,20.49
D30003,64.73,48.26,78.78,29.35,88.1,33.32,100.0,73.25,100.0,17.77,100.0,33.33,100.0,56.67,90.0,4.44,70.0,30.16,56.67,17.65
D30004,65.08,48.82,78.78,31.07,95.91,32.39,100.0,81.42,98.0,27.36,100.0,38.89,100.0,43.06,96.67,0.0,90.0,19.88,86.67,16.15
D40001,64.59,47.7,79.43,36.08,83.47,43.23,100.0,89.3,52.0,96.95,100.0,33.33,100.0,42.22,86.67,2.69,76.67,20.65,68.97,17.5
